document,questions,Gemini Answers,PROMPT
Greensboro SOP,What is the standard handoff procedure between ATC sectors?,"The document details transfer of control points (TCP) between ARTCC and ATCT, defining the vertical and lateral limits of delegated airspace.  � 
It also describes coordination and communication transfer procedures between different control facilities like Winston Tower, Charlotte Approach, and Greensboro Approach.",
Greensboro SOP,What are the lighting requirements for night operations?,The document does not specify lighting requirements for night operations.,
GreensboroATC Standard Operating Procedures,What is the role of the Greensboro TRACON in air traffic management?,"The role of the Greensboro TRACON (Terminal Radar Approach Control) in air traffic management is to provide standard separation and radar service within its designated airspace.  � 

The TRACON's area of jurisdiction depends on the active runway and the number of sectors in operation",
GreensboroATC Standard Operating Procedures,How are departure clearances issued in the ATC SOP?,"Clearance Delivery issues clearances.  � 
IFR departures are cleared via radar vectors or the appropriate SID.  ",
GreensboroATC Standard Operating Procedures,What are the frequency allocations for the Greensboro ATC sectors?,"ATIS: 128.55  � 
Clearance Delivery (CD): 121.75, 119.95 (Backup)  � 
Ground Control (GC): 121.9  � 
Local Control (LC): 119.1  � 
West Radar (WR): 124.35  � 
South Radar (SR): 126.6  � 
East Radar (ER): 120.9  � 
Final Radar (FR): 125.6",
GreensboroATC Standard Operating Procedures,How is radar separation maintained between aircraft?,TRACON provides standard separation and radar service within their area of jurisdiction. ,
GreensboroATC Standard Operating Procedures,What is the procedure for issuing holding instructions?,The document does not include the procedure for issuing holding instructions.,
GreensboroATC Standard Operating Procedures,What are the guidelines for handling lost communication with an aircraft?,The document does not include guidelines for handling lost communication with an aircraft.,
GreensboroATC Standard Operating Procedures,How does Greensboro ATC coordinate with adjacent facilities?,"Greensboro ATC coordinates with adjacent facilities as specified in the letters of agreement.
GSO/ZTL Letter of Agreement.  � 
GSO/ZDC Letter of Agreement.  � 
GSO/CLT Letter of Agreement. ",
GreensboroATC Standard Operating Procedures,What is the protocol for runway changes during active operations?,"When a runway change is required, the tower must coordinate with TRACON the following: cancellation of automatic releases, last departure, last arrival, type approach in use, and coordinate resumption of automatic releases.  � 
Ground Control must ensure all aircraft are informed of the new Runway-In-Use and taxi all aircraft to the new runway unless verbally coordinated with LC.",
GreensboroATC Standard Operating Procedures,What is the role of the Local Control position at the airport?,"Establish landing sequence.  � 
Provide visual separation between all arrivals within 5 miles of the airport.",
GreensboroATC Standard Operating Procedures,How are wake turbulence separation minima enforced?,"GSO is authorized to use procedures and separation minima contained in FAA Order JO 7110.126, Consolidated Wake Turbulence Separation Standards.",
GreensboroATC Standard Operating Procedures,What is the standard spacing for arrivals on the ILS approach?,The document does not specify the standard spacing for arrivals on the ILS approach.,
GreensboroATC Standard Operating Procedures,What are the VFR flight following procedures in the ATC SOP?,"For VFR departures requesting flight following, Clearance Delivery shall record ""FF"" in block 11 of the flight progress strip",
GreensboroATC Standard Operating Procedures,What is the procedure for handling emergencies in the ATC SOP?,"The document mentions ""Special Activities: Events, Evaluations, Emergency, etc."" in the position relief checklist, but does not detail specific emergency handling procedures.  � 
",
GreensboroATC Standard Operating Procedures,How are weather deviations handled in the Greensboro ATC area?,The document does not provide specific procedures for handling weather deviations.,
GreensboroATC Standard Operating Procedures,What is the coordination protocol for military operations?,The document does not provide a specific coordination protocol for military operations.,
GreensboroATC Standard Operating Procedures,How is non-standard traffic handled in the ATC SOP?,"The document does not provide specific procedures for handling non-standard traffic.
",
GreensboroATC Standard Operating Procedures,What are the handoff procedures for TRACON to Tower control?,"TRACON transfers radio communications to the Tower for aircraft executing instrument approaches after the aircraft is established on the final approach course and between 12 and 6 miles from the runway threshold.  � 
Aircraft on downwind may be transferred to Tower after receiving a visual approach clearance, but no later than 6 flying miles from the arrival runway threshold.",
GreensboroATC Standard Operating Procedures,What are the phraseology requirements for issuing clearances?,"When conditional phrases are used between controllers, the condition must not exceed one aircraft/vehicle, etc.  � 
Phraseology used must state the condition prior to the crossing clearance.",
GreensboroATC Standard Operating Procedures,What is the altitude assignment policy for departing aircraft?,"Initial Altitudes:
When 23L/R, 5L/R, and/or 14/32 are the runway(s)-in-use:
IFR/JET: 5,000  � 
VFR/JET: At or below 4,500  � 
IFR/OTHER: 3,000  � 
VFR/OTHER: At or below 3,000  � 
When an aircraft is departing 14/32 and 14/32 is NOT designated as a runway-in-use:
IFR: 3,000  � 
VFR: At or below 3,000  � 
Expected altitude: Instruct aircraft to expect their requested altitude 10 minutes after departure.  ",
GreensboroATC Standard Operating Procedures,How are special VFR clearances issued in the ATC SOP?,The document does not include specific procedures for issuing special VFR clearances.,
GSO Airport Master Plan Update,What are the key objectives outlined in the GSO Airport Master Plan?,"The main goal of this Airport Master Plan Update is to create a guide for the development of PTI that will allow for the timely and systematic response to on-going changes in aviation demand at the airport, and to preserve the capability to accommodate unforeseen aviation demand and economic development opportunities.
The Airport Master Plan Update will serve as a planning and decision-making tool that can be used by PTAA to develop the necessary improvements at PTI required to address and satisfy Immediate- and Long-Term aviation demand, while also remaining competitive among other commercial airports within the region.
This Airport Master Plan Update is intended to become a management tool that reflects PTAA�s policies and preferences, and was developed with close coordination with all appropriate Federal, regional,",
GSO Airport Master Plan Update,What is the projected passenger growth for the next 10 years?,"The document provides enplanement forecasts through 2030, but does not explicitly state the projected passenger growth for the next 10 years.",
GSO Airport Master Plan Update,What improvements are planned for the terminal facilities?,"When demand dictates, the expansion of the passenger terminal complex would best occur with the development of a third concourse that would be configured similar to that of the existing two concourses.
The third concourse is envisioned to accommodate 10 to 12 aircraft gates and adequate apron space for Airport Design Group (ADG) -III parked aircraft.",
GSO Airport Master Plan Update,What are the proposed changes to runway configurations?,"The ultimate plans for Runway 5R/23L include the future extension to an ultimate length of 12,735 feet.
The ultimate plans for Runway 5L/23R include the future extension to the southwest to an ultimate runway length of 10,000 feet.
Runway 14/32 is planned be extended to an ultimate length of 9,190 feet.",
GSO Airport Master Plan Update,How is the cargo traffic expected to evolve in the future?,"The all-cargo segment at PTI will experience major growth as the hub operation gets underway at the new FedEx sort facility.
Total all-cargo volumes for carriers other than FedEx and Mountain Air Cargo are projected to increase to more than 54 thousand tons from their 2007 level of just over 27 thousand tons; an increase of 102%",
GSO Airport Master Plan Update,What environmental considerations are addressed in the master plan?,"The master plan identifies potential environmental impacts and outlines the anticipated level of environmental documentation required for various projects.
It discusses prior environmental evaluations and anticipated environmental processing, including Categorical Exclusions, Environmental Assessments, and Environmental Impact Statements",
GSO Airport Master Plan Update,What is the proposed timeline for the expansion of Taxiway Bravo?,The document does not include a proposed timeline for the expansion of Taxiway Bravo.,
GSO Airport Master Plan Update,What are the budget estimates for the master plan's implementation?,"The document includes budget estimates for various capital projects and funding plans.
The financial analysis evaluates the capacity of PTAA to finance the existing Capital Improvement Program, the Land Acquisition Program, and the Short-Term and Medium-Term Airport Master Plan Update projects. ",
GSO Airport Master Plan Update,What are the critical infrastructure projects outlined in the plan?,"The plan outlines various airfield facility improvements, including:
Extension of Runway 5R/23L
Construction of high-speed exit taxiway for Runway 5R/23L
Parallel Taxiway G
New cross-field taxiways
It also discusses the development of a third passenger concourse, terminal support area, parking expansion, and other support facilities.",
GSO Airport Master Plan Update,How is the airport planning to improve access to ground transportation?,"The plan discusses improvements to the regional roadway system serving PTI, including State Highway 68, Interstate Highway 40 (I-40), and I-840.
It also considers the development of a public bus passenger transfer station and potential multi-modal facility development opportunities. ",
GSO Airport Master Plan Update,What safety enhancements are proposed for the airfield?,"The plan proposes various safety enhancements, including:
Upgrades to visual guidance lighting systems
Surface Movement Guidance and Control System (SMGCS) update
Runway Safety Area (RSA) improvements
It also addresses airspace protection and obstacle identification",
GSO Airport Master Plan Update,How does the master plan address noise abatement measures?,"The master plan references a Part 150 Study that established measures to reduce potential impacts of aircraft noise in the vicinity of the airport.
It also discusses noise considerations in the context of environmental impact assessments and land use planning.",
GSO Airport Master Plan Update,What are the plans for general aviation development?,"The plan includes a General Aviation Expansion Area and discusses plans for storage hangars, aircraft apron areas, and aviation fuel storage facilities.
It also considers factors affecting general aviation activity and forecasts future activity levels.",
GSO Airport Master Plan Update,What community engagement strategies are outlined in the master plan?,"The master plan emphasizes communication and coordination with various stakeholders.
It details the public comment schedule, including presentations to the Airport Authority, public information workshops, meetings with key stakeholders, and opportunities for public review and comment. ",
GSO Airport Master Plan Update,What new technologies are proposed for air traffic management?,"The master plan discusses the FAA's Next Generation Air Transportation System (NextGen) and its potential impact on air traffic management.
It emphasizes the importance of airspace protection and airport development supporting NextGen capacity improvements.",
GSO Airport Master Plan Update,What are the plans for expanding airport parking facilities?,,
GSO Airport Master Plan Update,What strategies are proposed for enhancing airport revenue streams?,"The document discusses various revenue sources for the airport, including:
Airfield area and apron area revenues (e.g., airline landing fees)
Airline terminal space rentals
Consumer service revenues (e.g., concessions, rental car companies)
Parking revenues
Other revenues and non-operating revenues (e.g., hangar rentals, federal reimbursements)
It also considers the role of tenant investment and public-private partnerships in generating revenue.",
GSO Airport Master Plan Update,What upgrades are planned for the airport's IT infrastructure?,"The document discusses the installation of wireless Internet service at the terminal area, but does not provide details on other planned upgrades to the airport's IT infrastructure.",
GSO Airport Master Plan Update,What partnerships are highlighted for the plan's success?,"The master plan emphasizes the importance of partnerships with various entities, including:
Federal Aviation Administration (FAA)
North Carolina Department of Transportation (NCDOT)
Local municipalities (Greensboro, High Point, Winston-Salem)
Regional planners and Metropolitan Planning Organizations (MPOs)
Airport tenants and stakeholders
Community organizations",
GSO Airport Master Plan Update,What are the primary challenges identified in the master plan?,"The primary challenges identified in the master plan include:
Responding to anticipated changing user demand and economic development opportunities
The need for timely development of needed airport improvements
The need for a strategic long-range visioning approach to airport planning
Balancing airport development with environmental considerations
Preserving airport-compatible land uses
Securing funding for planned projects",
Pilot’s Handbook of Aeronautical Knowledge,What are the fundamental principles of flight?,"The fundamental principles of flight are based on physical laws governing the forces acting on an aircraft in flight.
The four forces acting on an aircraft are thrust, drag, lift, and weight.
In steady flight, the sum of these opposing forces is always zero.",
Pilot’s Handbook of Aeronautical Knowledge,What is the role of the ailerons during flight?,"Ailerons control roll about the longitudinal axis.
The ailerons are attached to the outboard trailing edge of each wing and move in the opposite direction from each other.",
Pilot’s Handbook of Aeronautical Knowledge,How does the center of gravity affect aircraft performance?,"The position of the CG of an aircraft determines the stability of the aircraft in flight.
As the CG moves rearward (towards the tail), the aircraft becomes more and more dynamically unstable.",
Pilot’s Handbook of Aeronautical Knowledge,What are the different types of drag experienced by an aircraft?,"There are two basic types: parasite drag and induced drag.
Parasite drag is comprised of all the forces that work to slow an aircraft�s movement.
There are three types of parasite drag: form drag, interference drag, and skin friction.  � 
Induced drag is inherent whenever an airfoil is producing lift",
Pilot’s Handbook of Aeronautical Knowledge,How is lift generated according to the handbook?,"Lift is the force that opposes the downward force of weight, is produced by the dynamic effect of the air acting on the airfoil, and acts perpendicular to the flight path through the center of lift (CL) and perpendicular to the lateral axis.  � 
An airfoil is shaped to cause an action on the air, and forces air downward, which provides an equal reaction from the air, forcing the airfoil upward",
Pilot’s Handbook of Aeronautical Knowledge,What is the function of the horizontal stabilizer?,"The horizontal stabilizer is part of the empennage, or tail section, of the aircraft.
It is a fixed surface that provides stability about the aircraft�s lateral axis.",
Pilot’s Handbook of Aeronautical Knowledge,What is the relationship between angle of attack and lift?,"Lift varies with the AOA and airspeed.
As the AOA increases, lift increases (all other factors being equal).
When the aircraft reaches the maximum AOA, lift begins to diminish rapidly.
This is the stalling AOA, known as CL-MAX critical AOA",
Pilot’s Handbook of Aeronautical Knowledge,What are the key components of the aircraft's control system?,"Aircraft control systems consist of primary and secondary systems.
The ailerons, elevator (or stabilator), and rudder constitute the primary control system.
Wing flaps, leading edge devices, spoilers, and trim systems constitute the secondary control system.",
Pilot’s Handbook of Aeronautical Knowledge,How is engine performance affected by altitude?,"As altitude increases, air density decreases.
As air density decreases, it reduces:
Power because the engine takes in less air.
Thrust because a propeller is less efficient in thin air.
Lift because the thin air exerts less force on the airfoils. ",
Pilot’s Handbook of Aeronautical Knowledge,What is the significance of the four forces of flight?,"The four forces are thrust, drag, lift, and weight.
Understanding how these forces work and knowing how to control them with the use of power and flight controls are essential to flight.  � 
In steady flight, the sum of these opposing forces is always zero",
Pilot’s Handbook of Aeronautical Knowledge,What are the factors affecting stall speed?,"The stalling speed of a particular aircraft is not a fixed value for all flight situations, but a given aircraft always stalls at the same AOA regardless of airspeed, weight, load factor, or density altitude. ",
Pilot’s Handbook of Aeronautical Knowledge,How is stability maintained in flight?,"Stability in an aircraft affects two areas significantly:
Maneuverability�the quality of an aircraft that permits it to be maneuvered easily and to withstand the stresses imposed by maneuvers.
Controllability�the capability of an aircraft to respond to the pilot�s control, especially with regard to flight path and attitude.",
Pilot’s Handbook of Aeronautical Knowledge,What is the purpose of trim tabs on the aircraft?,"Trim tabs are small, movable portions of the trailing edge of the control surface.
These movable trim tabs, which are controlled from the flight deck, reduce control pressures.  � 
Trim tabs may be installed on the ailerons, the rudder, and/or the elevator.",
Pilot’s Handbook of Aeronautical Knowledge,How does weight distribution affect takeoff performance?,"A heavier gross weight results in a longer takeoff run and shallower climb, and a faster touchdown speed and longer landing roll.
Even a minor overload may make it impossible for the aircraft to clear an obstacle that normally would not be a problem during takeoff under more favorable conditions",
Pilot’s Handbook of Aeronautical Knowledge,What are the safety measures for preventing spatial disorientation?,"Pilots can prevent illusions and spatial disorientation by:
Understanding the causes of these illusions and remaining constantly alert for them.  � 
Always obtaining and understanding preflight weather briefings.  � 
Before flying in marginal visibility or where a visible horizon is not evident, such as flight over open water during the night, obtain training and maintain proficiency in aircraft control by reference to instruments.  � 
Do not fly into adverse weather conditions or into dusk or darkness unless proficient in the use of flight instruments. If intending to fly at night, maintain night-flight currency and proficiency. Include cross-country and local operations at various airfields.  � 
Ensure that when outside visual references are used, they are reliable, fixed points on the Earth�s surface.  � 
Avoid sudden head movement, particularly during takeoffs, turns, and approaches to landing.  � 
Be physically tuned for flight into reduced visibility. Ensure proper rest, adequate diet, and, if flying at night, allow for night adaptation. Remember that illness, medication, alcohol, fatigue, sleep loss, and mild hypoxia are likely to increase susceptibility to spatial disorientation.  � 
Most importantly, become proficient in the use of flight instruments and rely upon them. Trust the instruments and disregard your sensory perceptions.",
Pilot’s Handbook of Aeronautical Knowledge,What is the standard approach procedure for landing?,The document does not include a standard procedure for landing.,
Pilot’s Handbook of Aeronautical Knowledge,How does the handbook describe adverse yaw?,"Since the downward deflected aileron produces more lift as evidenced by the wing raising, it also produces more drag.
This added drag causes the wing to slow down slightly.
This results in the aircraft yawing toward the wing which had experienced an increase in lift (and drag).
From the pilot�s perspective, the yaw is opposite the direction of the bank.
The adverse yaw is a result of differential drag and the slight difference in the velocity of the left and right wings",
Pilot’s Handbook of Aeronautical Knowledge,What are the recommended weather minima for VFR flights?,"The basic VFR weather minimums for Class G airspace are:
1,200 feet or less above the surface (regardless of MSL altitude):
Day: 1 statute mile visibility, clear of clouds
Night: 3 statute miles visibility, 1,000 feet above, 500 feet below, 2,000 feet horizontal from clouds  � 
More than 1,200 feet above the surface but less than 10,000 feet MSL: 3 statute miles visibility, 1,000 feet above, 500 feet below, 2,000 feet horizontal from clouds  � 
More than 1,200 feet above the surface and at or above 10,000 feet MSL: 5 statute miles visibility, 1,000 feet above, 1,000 feet below, 1 statute mile horizontal from clouds  � 
At or above 10,000 feet MSL: 5 statute miles visibility, 1,000 feet above, 1,000 feet below, 1 statute mile horizontal from clouds",
Pilot’s Handbook of Aeronautical Knowledge,What is the significance of ground effect during takeoff and landing?,"During the takeoff phase of flight, ground effect produces some important relationships.
An aircraft leaving ground effect after takeoff encounters just the reverse of an aircraft entering ground effect during landing.
The aircraft leaving ground effect will:
Require an increase in AOA to maintain the same CL.  � 
Experience an increase in induced drag and thrust required.  � 
Experience a decrease in stability and a nose-up change in moment.  � 
Experience a reduction in static source pressure and increase in indicated airspeed.  � 
If, during the landing phase of flight, the aircraft is brought into ground effect with a constant AOA, the aircraft experiences an increase in CL and a reduction in the thrust required, and a �floating� effect may occur.  ",
Pilot’s Handbook of Aeronautical Knowledge,How is turbulence categorized in the handbook?,"The document describes turbulence intensity as light, moderate, heavy, or extreme.  �
",
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the eligibility requirements for obtaining a remote pilot certificate?,"To be eligible for a remote pilot certificate, you must be able to read, speak, write, and understand the English language.
You must be at least 16 years old.
You must pass an initial aeronautical knowledge test. ",
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the role of the FAA in regulating small unmanned aircraft systems (sUAS)?,The Federal Aviation Administration (FAA) has published the Remote Pilot - Small Unmanned Aircraft Systems (sUAS) Study Guide to communicate the knowledge areas you need to study to prepare to take the Remote Pilot Certificate with an SUAS rating airman knowledge test. ,
