Document,Question,Answer
IFR Alternate Airport Minimums,What is the difference between standard and non-standard minima?,"Standard minima use 600-2 for precision, 800-2 for non-precision."
IFR Alternate Airport Minimums,What is the alternate minima for Columbia Metropolitan Airport?,"Category D minima: ILS, 900-2¼; LOC, 900-2½."
IFR Alternate Airport Minimums,How does the FAA regulate alternate airport minima?,FAA regulations ensure minimum safety standards for alternates.
Aeronautical Chart Users’ Guide,What is the purpose of the Aeronautical Chart User's Guide?,The guide provides pilots with chart symbology and interpretation.
Aeronautical Chart Users’ Guide,What information is provided on a sectional chart?,"Sectional charts show airspace boundaries, topography, and navigation aids."
Aeronautical Chart Users’ Guide,How are controlled airspaces depicted on charts?,Controlled airspaces are shown with solid or dashed blue and magenta lines.
Aeronautical Chart Users’ Guide,What symbols indicate special use airspace?,Special use airspaces are depicted with hatched lines or annotations.
Aeronautical Chart Users’ Guide,What details are shown for airports on sectional charts?,"Airports are shown with symbols indicating type, size, and services available."
Aeronautical Chart Users’ Guide,How is terrain elevation represented on the chart?,Terrain elevation is depicted using contour lines and color gradients.
Aeronautical Chart Users’ Guide,What are the symbols for obstructions like towers?,Obstructions like towers are marked with a tower symbol and height data.
Aeronautical Chart Users’ Guide,How are heliports represented on the chart?,Heliports are depicted with a capital H within a circle.
Aeronautical Chart Users’ Guide,What is the depiction for restricted airspace?,Restricted airspace is outlined with blue-hatched lines.
Aeronautical Chart Users’ Guide,What information does the legend provide for flight planning?,The legend explains chart symbology and abbreviations.
Aeronautical Chart Users’ Guide,What is the significance of MEF on sectional charts?,"MEF stands for Maximum Elevation Figures, providing clearance heights."
Aeronautical Chart Users’ Guide,How is Class B airspace represented on sectional charts?,Class B airspace is depicted with solid blue lines.
Aeronautical Chart Users’ Guide,What symbols represent runway lighting systems?,Runway lighting systems are represented by specific symbols next to airport markers.
Aeronautical Chart Users’ Guide,How are communication frequencies indicated on the charts?,Communication frequencies are listed near the associated airspace or navigation aid.
Aeronautical Chart Users’ Guide,What are VOR symbols on aeronautical charts?,VOR symbols include a hexagon with a dot in the center.
Aeronautical Chart Users’ Guide,What is the role of the chart scale in navigation?,The chart scale helps pilots measure distances accurately.
Aeronautical Chart Users’ Guide,How are temporary flight restrictions depicted?,Temporary flight restrictions are indicated with dashed red lines.
Aeronautical Chart Users’ Guide,What is the symbol for military operations areas?,Military operations areas are marked with magenta-hatched boundaries.
Aeronautical Chart Users’ Guide,What are the color codes used for elevation depiction?,Color codes for elevation range from green (low) to brown (high).
Aeronautical Chart Users’ Guide,How are prohibited areas indicated?,Prohibited areas are depicted with blue-hatched lines and labels like 'P-123'.
Greensboro SOP,What are the responsibilities of the tower controller at Greensboro Airport?,Tower controllers coordinate ground and air traffic movements.
Greensboro SOP,How are runway operations managed during peak hours?,Runway usage alternates during peak hours based on traffic load.
Greensboro SOP,What is the procedure for simultaneous landings on intersecting runways?,Simultaneous landings require strict coordination and timing.
Greensboro SOP,What are the taxiway designations at Greensboro Airport?,Taxiways are labeled A through K with clear signage.
Greensboro SOP,What is the standard communication protocol for clearance delivery?,Clearance delivery uses standard phraseology and procedures.
Greensboro SOP,How is emergency landing prioritized in Greensboro SOP?,Emergency landings are given immediate priority and runway access.
Greensboro SOP,What are the procedures for low visibility operations?,Low visibility operations involve Category II/III ILS procedures.
Greensboro SOP,What is the traffic flow pattern for RWY 23?,Traffic flows north to south for RWY 23.
Greensboro SOP,What are the weather minima required for VFR operations at the airport?,"VFR requires a ceiling of 1,000 feet and visibility of 3 miles."
Greensboro SOP,How are missed approaches handled at Greensboro Airport?,Missed approaches are rerouted to holding patterns.
Greensboro SOP,What is the protocol for handling wake turbulence at the airport?,Wake turbulence is managed using staggered spacing.
Greensboro SOP,How are temporary runway closures communicated to pilots?,Runway closures are broadcast via NOTAMs.
Greensboro SOP,What are the training requirements for ATC personnel?,ATC personnel must complete annual training and certifications.
Greensboro SOP,How does the SOP address noise abatement procedures?,Noise abatement includes specific approach and departure routes.
Greensboro SOP,What is the procedure for handling diversions to Greensboro Airport?,Diversions are managed with pre-allocated holding areas.
Greensboro SOP,What are the emergency frequencies used at the airport?,Emergency frequencies include 121.5 MHz and 243.0 MHz.
Greensboro SOP,How is runway incursion prevention managed?,Runway incursions are prevented using ASDE-X systems.
Greensboro SOP,What are the signage requirements for taxiway intersections?,Taxiway intersections have mandatory stop bar lights.
Greensboro SOP,What is the standard handoff procedure between ATC sectors?,Sector handoffs involve notifying adjacent sectors in advance.
Greensboro SOP,What are the lighting requirements for night operations?,Lighting includes runway edge lights and PAPI systems.
GreensboroATC Standard Operating Procedures,What is the role of the Greensboro TRACON in air traffic management?,TRACON handles arrivals and departures within Class B and surrounding airspace.
GreensboroATC Standard Operating Procedures,How are departure clearances issued in the ATC SOP?,Departure clearances are issued via pre-defined standard routes.
GreensboroATC Standard Operating Procedures,What are the frequency allocations for the Greensboro ATC sectors?,Frequency allocations are specific to individual sectors and altitudes.
GreensboroATC Standard Operating Procedures,How is radar separation maintained between aircraft?,Radar separation is maintained at a minimum of 3 miles.
GreensboroATC Standard Operating Procedures,What is the procedure for issuing holding instructions?,Holding instructions include holding fixes and EFC times.
GreensboroATC Standard Operating Procedures,What are the guidelines for handling lost communication with an aircraft?,Lost communication procedures involve squawking 7600 and proceeding under VFR.
GreensboroATC Standard Operating Procedures,How does Greensboro ATC coordinate with adjacent facilities?,Coordination includes pre-allocated routes for handoffs.
GreensboroATC Standard Operating Procedures,What is the protocol for runway changes during active operations?,Runway changes require tower and ground coordination.
GreensboroATC Standard Operating Procedures,What is the role of the Local Control position at the airport?,Local Control manages active runways and immediate departures.
GreensboroATC Standard Operating Procedures,How are wake turbulence separation minima enforced?,Wake turbulence is managed using staggered spacing and category weights.
GreensboroATC Standard Operating Procedures,What is the standard spacing for arrivals on the ILS approach?,ILS approaches require 5-mile spacing for sequential arrivals.
GreensboroATC Standard Operating Procedures,What are the VFR flight following procedures in the ATC SOP?,Flight following is initiated on request and monitored by ATC.
GreensboroATC Standard Operating Procedures,What is the procedure for handling emergencies in the ATC SOP?,Emergencies involve declaring a state and activating airport response.
GreensboroATC Standard Operating Procedures,How are weather deviations handled in the Greensboro ATC area?,Weather deviations are granted immediate approval for safety.
GreensboroATC Standard Operating Procedures,What is the coordination protocol for military operations?,Military coordination involves pre-planned schedules and priorities.
GreensboroATC Standard Operating Procedures,How is non-standard traffic handled in the ATC SOP?,Non-standard traffic requires coordination and direct routing.
GreensboroATC Standard Operating Procedures,What are the handoff procedures for TRACON to Tower control?,TRACON transfers to Tower at 5 miles from the airport.
GreensboroATC Standard Operating Procedures,What are the phraseology requirements for issuing clearances?,Clearance phraseology follows FAA standards and local variations.
GreensboroATC Standard Operating Procedures,What is the altitude assignment policy for departing aircraft?,Altitude is assigned based on route and performance capabilities.
GreensboroATC Standard Operating Procedures,How are special VFR clearances issued in the ATC SOP?,Special VFR is granted under specific weather minima.
GSO Airport Master Plan Update,What are the key objectives outlined in the GSO Airport Master Plan?,The objectives include capacity enhancement and infrastructure modernization.
GSO Airport Master Plan Update,What is the projected passenger growth for the next 10 years?,Passenger growth is projected to increase by 25% in the next decade.
GSO Airport Master Plan Update,What improvements are planned for the terminal facilities?,Terminal upgrades include additional gates and improved passenger flow.
GSO Airport Master Plan Update,What are the proposed changes to runway configurations?,Runway extensions and reconfigurations are planned for increased capacity.
GSO Airport Master Plan Update,How is the cargo traffic expected to evolve in the future?,Cargo traffic is expected to grow by 15% annually.
GSO Airport Master Plan Update,What environmental considerations are addressed in the master plan?,Environmental impact assessments and mitigation measures are included.
GSO Airport Master Plan Update,What is the proposed timeline for the expansion of Taxiway Bravo?,The expansion of Taxiway Bravo is planned over the next 3 years.
GSO Airport Master Plan Update,What are the budget estimates for the master plan's implementation?,The budget for the master plan implementation is estimated at $1 billion.
GSO Airport Master Plan Update,What are the critical infrastructure projects outlined in the plan?,Critical projects include runway expansions and terminal upgrades.
GSO Airport Master Plan Update,How is the airport planning to improve access to ground transportation?,Ground transportation access will be improved with new roadways.
GSO Airport Master Plan Update,What safety enhancements are proposed for the airfield?,Safety enhancements include upgraded lighting and signage.
GSO Airport Master Plan Update,How does the master plan address noise abatement measures?,Noise abatement measures involve revised flight paths.
GSO Airport Master Plan Update,What are the plans for general aviation development?,General aviation development includes new hangars and ramps.
GSO Airport Master Plan Update,What community engagement strategies are outlined in the master plan?,Community engagement involves public consultations and workshops.
GSO Airport Master Plan Update,What new technologies are proposed for air traffic management?,Proposed technologies include enhanced radar systems.
GSO Airport Master Plan Update,What are the plans for expanding airport parking facilities?,Airport parking facilities will be expanded by 50%.
GSO Airport Master Plan Update,What strategies are proposed for enhancing airport revenue streams?,Strategies include attracting more airlines and increasing retail options.
GSO Airport Master Plan Update,What upgrades are planned for the airport's IT infrastructure?,IT upgrades include advanced security and operational systems.
GSO Airport Master Plan Update,What partnerships are highlighted for the plan's success?,Partnerships with local governments and airlines are emphasized.
GSO Airport Master Plan Update,What are the primary challenges identified in the master plan?,Challenges include funding constraints and regulatory approvals.
Pilot’s Handbook of Aeronautical Knowledge,What are the fundamental principles of flight?,"Flight is based on the principles of lift, thrust, drag, and weight."
Pilot’s Handbook of Aeronautical Knowledge,What is the role of the ailerons during flight?,Ailerons control roll and maintain lateral stability.
Pilot’s Handbook of Aeronautical Knowledge,How does the center of gravity affect aircraft performance?,The center of gravity affects stability and controllability.
Pilot’s Handbook of Aeronautical Knowledge,What are the different types of drag experienced by an aircraft?,Drag is categorized into parasitic and induced drag.
Pilot’s Handbook of Aeronautical Knowledge,How is lift generated according to the handbook?,Lift is generated by the pressure differential over the wing surfaces.
Pilot’s Handbook of Aeronautical Knowledge,What is the function of the horizontal stabilizer?,The horizontal stabilizer maintains longitudinal stability.
Pilot’s Handbook of Aeronautical Knowledge,What is the relationship between angle of attack and lift?,An increase in angle of attack increases lift until the critical angle.
Pilot’s Handbook of Aeronautical Knowledge,What are the key components of the aircraft's control system?,"The control system includes ailerons, rudder, and elevator."
Pilot’s Handbook of Aeronautical Knowledge,How is engine performance affected by altitude?,Engine performance decreases with altitude due to reduced air density.
Pilot’s Handbook of Aeronautical Knowledge,What is the significance of the four forces of flight?,"The four forces of flight are lift, thrust, drag, and weight."
Pilot’s Handbook of Aeronautical Knowledge,What are the factors affecting stall speed?,Stall speed increases with weight and load factor.
Pilot’s Handbook of Aeronautical Knowledge,How is stability maintained in flight?,Stability is maintained through the aircraft's aerodynamic design.
Pilot’s Handbook of Aeronautical Knowledge,What is the purpose of trim tabs on the aircraft?,Trim tabs help reduce the pilot's control forces.
Pilot’s Handbook of Aeronautical Knowledge,How does weight distribution affect takeoff performance?,Weight distribution affects the aircraft's center of gravity.
Pilot’s Handbook of Aeronautical Knowledge,What are the safety measures for preventing spatial disorientation?,Spatial disorientation is prevented through proper training and instruments.
Pilot’s Handbook of Aeronautical Knowledge,What is the standard approach procedure for landing?,The standard approach involves a stabilized descent and alignment.
Pilot’s Handbook of Aeronautical Knowledge,How does the handbook describe adverse yaw?,Adverse yaw is caused by differential drag during turns.
Pilot’s Handbook of Aeronautical Knowledge,What are the recommended weather minima for VFR flights?,"VFR flights require a minimum ceiling of 1,000 feet."
Pilot’s Handbook of Aeronautical Knowledge,What is the significance of ground effect during takeoff and landing?,Ground effect reduces induced drag near the ground.
Pilot’s Handbook of Aeronautical Knowledge,How is turbulence categorized in the handbook?,"Turbulence is categorized into light, moderate, and severe."
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the eligibility requirements for obtaining a remote pilot certificate?,Applicants must be at least 16 years old and pass an FAA knowledge test.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the role of the FAA in regulating small unmanned aircraft systems (sUAS)?,The FAA regulates sUAS operations to ensure airspace safety.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the limitations for sUAS operations under Part 107?,Operations must remain within 400 feet of the ground and during daylight hours.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,How is controlled airspace defined for sUAS operations?,"Controlled airspace includes Class B, C, D, and certain parts of Class E."
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the weather requirements for operating a small unmanned aircraft?,Weather must include visibility of 3 miles and cloud clearance of 500 feet.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the maximum allowable altitude for sUAS operations?,Maximum altitude is 400 feet above ground level unless within 400 feet of a structure.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the requirements for visual line of sight during sUAS operations?,Remote pilots must maintain visual contact with the sUAS at all times.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,How are remote pilots expected to handle emergency situations?,Emergencies must be handled to prioritize safety and reported to the FAA.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the key components of a preflight inspection for sUAS?,"Preflight checks include inspecting batteries, propellers, and the flight control system."
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the process for reporting sUAS accidents to the FAA?,Accidents must be reported within 10 days if they result in serious injury or property damage.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the roles and responsibilities of the remote pilot in command (RPIC)?,The RPIC is responsible for the safe operation of the sUAS.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the significance of NOTAMs for sUAS operations?,NOTAMs provide crucial information about airspace restrictions.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the battery maintenance guidelines for small unmanned aircraft?,Batteries must be stored and charged according to the manufacturer’s instructions.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,How does the guide define operations over people?,Operations over people require compliance with strict safety measures.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the specific requirements for night operations under Part 107?,Night operations require anti-collision lighting visible for 3 miles.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,"How is airspace authorization obtained for operations in Class B, C, D, or E airspace?",Airspace authorization is obtained through the FAA's LAANC system.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the role of aeronautical charts in planning sUAS operations?,Aeronautical charts help identify airspace classes and restrictions.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the requirements for recurrent testing for remote pilots?,Recurrent testing is required every 24 months.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What is the significance of the small unmanned aircraft registration system?,All sUAS must be registered if they weigh more than 0.55 pounds.
Remote Pilot Small Unmanned Aircraft Systems Study Guide,What are the rules for operating sUAS over moving vehicles?,Operations over moving vehicles are prohibited unless the vehicle is in a restricted area.
Risk Management Handbook,What is the purpose of the Risk Management Handbook?,The handbook provides guidelines for identifying and mitigating aviation risks.
Risk Management Handbook,What is the risk management process described in the handbook?,"The risk management process involves identifying, analyzing, and mitigating risks."
Risk Management Handbook,How does the handbook define 'hazard' in aviation?,A hazard is any condition that could lead to an accident.
Risk Management Handbook,What are the five steps in the risk management decision-making process?,"The steps include identifying hazards, assessing risks, and implementing controls."
Risk Management Handbook,How are risk assessments conducted for flight operations?,Risk assessments are conducted using qualitative and quantitative methods.
Risk Management Handbook,"What is the PAVE checklist, and how is it used in risk management?","The PAVE checklist stands for Pilot, Aircraft, Environment, and External Pressures."
Risk Management Handbook,"What is the 5P model, and how does it apply to aviation safety?","The 5P model includes Plan, Plane, Pilot, Passengers, and Programming."
Risk Management Handbook,What are the key elements of situational awareness in risk management?,Situational awareness involves understanding the environment and predicting outcomes.
Risk Management Handbook,How does the handbook address human factors in aviation safety?,"Human factors include fatigue, stress, and decision-making errors."
Risk Management Handbook,"What is the IMSAFE checklist, and how is it used by pilots?","The IMSAFE checklist evaluates Illness, Medication, Stress, Alcohol, Fatigue, and Emotion."
Risk Management Handbook,What are the guidelines for identifying and mitigating risks in flight planning?,"Risk identification involves analyzing weather, aircraft performance, and route conditions."
Risk Management Handbook,How is risk tolerance defined in the handbook?,Risk tolerance is the level of risk deemed acceptable for a specific operation.
Risk Management Handbook,What are the tools recommended for ongoing risk monitoring during flight?,"Monitoring tools include checklists, instruments, and pilot reports."
Risk Management Handbook,How does the handbook define acceptable levels of risk?,Acceptable risk levels are those that maintain safety and operational goals.
Risk Management Handbook,What are the decision-making models described in the handbook?,Models include the DECIDE model and the 3P model.
Risk Management Handbook,What is the significance of aeronautical decision-making (ADM) in risk management?,ADM involves systematic decision-making to enhance safety.
Risk Management Handbook,What are the strategies for managing in-flight emergencies?,Strategies include prioritizing tasks and maintaining communication.
Risk Management Handbook,How does the handbook address weather-related risks?,"Weather risks involve turbulence, visibility, and wind conditions."
Risk Management Handbook,What is the role of post-flight debriefing in risk management?,Debriefing identifies lessons learned and areas for improvement.
Risk Management Handbook,How does the handbook recommend incorporating technology into risk management?,"Technology includes automation, GPS, and weather forecasting tools."
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the standard takeoff minimums for commercial operators?,Standard minimums include 1 mile visibility for single-engine aircraft.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,How are obstacle departure procedures defined?,ODPs provide instructions for safe departure considering terrain and obstacles.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the visibility requirements for takeoff under IFR conditions?,IFR takeoff requires a minimum of 1/2 mile visibility.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the purpose of a Diverse Vector Area (DVA)?,DVAs ensure safe vectoring by ATC in areas with no published procedures.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,How are non-standard takeoff minimums communicated to pilots?,Non-standard minimums are listed in terminal procedure publications.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the role of climb gradients in departure planning?,Climb gradients ensure obstacle clearance during initial climb.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the significance of runway lighting systems for IFR departures?,Lighting systems include approach lights and runway edge lights.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,How does the handbook address takeoff in low visibility conditions?,Low visibility takeoff uses RVR readings and specific lighting systems.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the criteria for designating a takeoff alternate airport?,A takeoff alternate is required when departure airport weather is below minimums.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the purpose of the Obstacle Identification Surface (OIS)?,OIS defines the obstacle-free airspace during departure.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,How are diverse departure procedures implemented at airports?,Diverse procedures allow departures in all directions if no obstacles exist.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the minimum climb gradients for obstacle clearance?,Minimum gradients are specified in feet per nautical mile.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the requirements for pilots when using visual climb over airport (VCOA)?,VCOA requires pilots to maintain visibility and specific altitudes.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,How are departure procedures published in airport charts?,Departure procedures are published in the airport's approach charts.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the process for obtaining clearance for a non-standard departure?,Non-standard clearances are coordinated with ATC.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the procedures for handling engine failure during takeoff?,Engine-out procedures involve returning to the airport or a safe landing area.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the importance of NOTAMs in takeoff planning?,NOTAMs provide updates on changes to departure procedures.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What are the minimum weather requirements for takeoff at uncontrolled airports?,Minimums at uncontrolled airports depend on terrain and local regulations.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,What is the role of TERPS in defining obstacle clearance?,TERPS define obstacle clearance standards for instrument procedures.
TAKEOFF MINIMUMS (OBSTACLE) DEPARTURE PROCEDURES,How are mountainous terrain departures managed?,Mountainous departures involve increased climb gradients and route planning.
